,botanical_name,common_name,family,plant_type,mature_size,sun_exposure,soil_type,soil_ph,bloom_time,flower_color,hardiness_zones,native_area
996,Amelanchier alnifolia,"Saskatoon Serviceberry, Western Serviceberry, Indian Pear, Prairie Berries, Juneberries",,Shrub,8 - 10 feet,Full sun to partial shade,"Moist, well-drained, slightly acidic",5.5 - 7.0,Spring,White,4 to 7,
997, Sassafras albium,, Lauraceae, Tree," 30 to 60 ft. tall, 25 to 40 ft. wide"," Full sun, part shade"," Loamy, sandy, moist, well-drained", Neutral to acidic (6.0 to 7.0), Spring, Greenish-yellow," 4-9, USA", Eastern North America
998,"Clarkia amoena; formerly, Godetia amoena","Satin flower, farewell-to-spring",,Annual,"2 to 2.5 feet tall, with a spread of up to one foot",Full sun to partial shade,"Average to low fertility needs, average to low moisture levels, well-drained",Neutral,June to July,"Lavender, pink, red, salmon, or white",,West Coast of North America
999,Scindapsus pictus,"Satin pothos, silk pothos, silver pothos, silver philodendron",,Perennial vine,Four to ten feet length,Bright indirect light indoors,Potting soil mix,6.1 to 6.5,Summer,Inconspicuous,"10-12, USA",Southeast Asia
1000,Citrus unshiu,"Satsuma, satsuma mandarin, unshu mikan, cold hardy mandarin",,Tree,Up to 20 ft. tall,Full sun,"Rich, moist","Acidic, neutral",Spring,White,8-11 (USDA),China
1001,Magnolia x soulangiana,Saucer magnolia,,"Tree, shrub",20 to 25 ft. tall and wide,"Full, partial",Moist but well-drained,Acidic to neutral,Spring,"Pink, white",,Asia 
1002,Helianthus grosseserratus,Sawtooth sunflower,,Perennial  ,3 to 12 feet,Full sun,"Rich, moist, and well-draining",Neutral,Late summer to fall,Yellow,"3 to 8, USA",United States and Canada
1003,Allium fistulosum,"Scallion, green onion, spring onion, bunching onion",Amaryllidaceae,"Perennial, bulb",,Full sun,"Sandy, loamy, well-drained",Acidic to neutral (6.0 to 7.0),Spring,,6–9 (USDA),Asia
1004,Emilia coccinea,Scarlet tassel flower,,Annual,1-3 feet,Full sun/partial shade,Well-drained,,Summer,Red/Orange,8-11,Tropical Asia
1005,Pelargonium (scented-leaved group),,,Herbaceous perennial (usually grown as an annual),1 to 3 feet tall; 1- to 2-foot spread,Full sun to part shade,"Rich, medium-moisture, well-drained soil",5.8 to 6.3 (slightly acidic),Seasonal bloomer,"White, various shades of pink, red",10 to 11 (grown as an annual elsewhere),"Temperate and tropical regions around the world, especially southern Africa"
1006,Schefflera spp.,"Schefflera, umbrella plant, umbrella tree",Araliaceae,Broadleaf evergreen,"4 to 6 feet. tall, 3 to 6 feet wide (indoors); up to 25 feet tall (outdoors)","Bright, indirect light",Rich and moderately moist,Slightly acidic (6.0-6.5),Summer (outdoors),"White, pink, or red (indoor plants rarely bloom)",10–12 (USDA),Taiwan
1007,Scindapsus pictus 'Exotica' ,"Satin pothos, silver pothos, silver splash pothos, silver philodendron, silver vine ",Araceae ,Vine ,10 ft. long ,Partial ,Moist but well-drained ,Acidic ,"Spring, summer ","Green, white ","10-12, USA ",Asia 
1008,Pinus sylvestris,,,Coniferous evergreen tree,"125 feet or more in height, with a trunk 3 feet or more in diameter",Full sun (at least six hours per day),Acidic; poor soil is acceptable,5.0 to 7.5,,,3–7,Europe
1009,Arenaria verna,"Scotch moss, Scottish moss, moss sandwort",Caryophyllaceae,"Herbaceous, evergreen, perennial","1–2 in. tall, 8–10 in. wide","Full, partial","Rich, well-drained",Acidic to neutral (5.6 to 7.5),Late spring to early summer,White,4–8 (USDA),Europe
1010,Limonium latifolium ,Sea Lavender,,Perennial,"6-12 inches, 1-3 feet; up to 2 feet wide","Part sun, sun",Sandy,6.1-7.8,Summer/Fall,"Blue, white, purple, pink",4-11,Coastal areas
1011,Mimosa pudica,"Sensitive plant, touch-me-not, sleepy plant",Fabaceae,"Shrub, herbaceous, perennial, annual","18 in. tall, 1-5 ft. wide","Full, partial","Well-draining, loamy","Acidic, neutral",Summer,"Purple, pink",7–13 (USDA),"Central America, South America"
1012, Picea omorika, Serbian spruce, Pinaceae (Pine)," Coniferous, needled, evergreen tree", 40 to 60 feet; commonly 100 feet in the wild, Full sun to partial shade, Well-drained, Not fussy about soil pH; can be grown with a soil pH ranging from 5.6 to 9,,," 4b to 7a, USDA", Balkans
1013,Capsicum annuum 'Serrano',Serrano pepper,Solanaceae,"Perennial, vegetable",,Full sun,"Loamy, moist, well-drained","Mildly acidic, neutral (6.0 to 7)","Summer, Fall",,9–12 (USDA),
1014,"Allium cepa var. aggregatum (formerly, Allium ascalonicum, Dutch shallot), A. oschaninii (French shallot), A. stipitatum (Persian shallot)","Shallot, French shallot, gray shallot, Dutch shallot",Amaryllidaceae,"Biennial, bulb",,"Full sun, partial sun","Loamy, well-drained",Neutral to acidic (5.0 to 7.0),Spring,,2–10 (USDA),Uncertain; likely southwest Asia
1015,Oxalis triangularis (synonymous with Oxalis regnellii),"Purple shamrock, false shamrock, love plant, shamrock, wood sorrel, oxalis, black oxalis",Oxalidaceae,Perennial,"0.5–1 ft. tall, 1–2 ft. wide","Full, partial","Loamy, sandy, well-drained",Acidic,"Spring, fall, winter","White, pink, lavender","8–11, USA",South America
1016,Faucaria tigrina,"Tiger Jaws, shark jaws",Aizoaceae,"Perennial, succulent","Up to 6 in. tall, 6 in. wide","Full, partial","Moist, well-drained, loamy, sandy, clay soils","Acidic, neutral, alkaline","Fall, winter",Yellow,"9, 10, 11",Africa
1017,Leucanthemum × superbum,Shasta daisy,Asteraceae,Perennial,"9 in.-3 ft. tall, 1-2 ft. wide","Full, partial","Loamy, moist but well-drained",Neutral,"Spring, summer",White,"5-9, USA",North America
1018,Quercus imbricaria,Shingle Oak,,Deciduous Tree,"40 to 60 ft. wide, 40 to 60 ft. tall",Full Sun,Hummus loams with good drainage,Neutral to slightly alkaline,April,Yellowish-green,"4-8, USA",Central United States
1019,Dodecatheon meadia or Primula meadia,"Shooting star, eastern shooting star, prairie pointers",Primulaceae,"Herbaceous, perennial","9–20 in. tall, 9–12 in. wide",Partial,Rocky or sandy loam,Slightly acidic (6.0 to 6.8),Late spring,"White, pink, purple",4–8 (USDA),Central and Eastern North America
1020,Cypripedium reginae,"Showy Lady Slipper, Queen's Lady's Slipper",,Orchid,1 to 2 ft. tall,Dappled Sun/Part Shade,"Moist, fertile, leafy, humus-rich soil",Acid to neutral,Between May and August depending on location,White flower with pink-magenta pouch,"2-5 and cooler parts of 6, USDA",Eastern North America
1021,Asclepias speciosa,Showy milkweed,,Herbaceous perennial,1 to 3 feet tall,Full sun,"Average fertility, average to less than average water needs, well-drained",Not fussy about soil pH,May to June,Rosey-purple and pink,3 to 9,Western North America
1022,Sedum spp.,,Crassulaceae,Perennial,"6–24 in. tall, 12–24 in. wide","Full, partial","Sandy, loamy, well-drained","Acidic, neutral","Summer, fall","Red, pink, yellow, white",3–10 (USDA),"North America, South America, Central America, Europe, Asia, Africa, Middle East, Mediterranean"
1023,"Iris x, Iris sibirica",Siberian iris,Iridaceae,"Herbaceous, perennial, rhizome","3–4 ft. tall, 2–3 ft. wide","Full, partial","Moist, well-drained","Acidic, neutral","Spring, summer","Blue, purple, white, yellow, pink, red",3–9 (USDA),"Europe, Asia"
1024,"Acer ginnala, Acer tataricum subsp. ginnala","Amur maple, Siberian maple",Sapindaceae,"Tree, shrub","15-20 ft. tall, 15-30 ft. wide","Full, partial","Loamy, sandy, clay, well-drained","Acidic, neutral",Spring,White,3-8 (USDA),Asia
1025, Ceiba speciosa (formerly Chorisia speciosa), Silk Floss Tree,, Deciduous Tree, 50 feet, Full Sun," Adaptable, well-drained", Adaptable, October-November, Pink, 9-11, South America
1026,Albizia julibrissin,"Silk Tree, Pink Silk Tree, Persian Silk Tree",Fabaceae,Tree,"20-40 ft. tall, 20-50 ft. wide","Full, partial",Moist but well-drained,"Acidic, neutral, alkaline",Summer,Pink,"6, 7, 8, 9","Middle East, Asia"
1027, Cornus amomum, Silky Dogwood,, Deciduous shrub,"  6 to 12 feet tall,  6 to 12 feet wide."," Part Shade , Shade"," Loamy,  Moist , Wet", 5-7," March, April", White, 5-8, Eastern North America
1028,Dymondia margaretae,Silver carpet,,Herbaceous perennial,"One to three inches height, one to two feet spread","Full sun, part shade","Sandy, silt, loamy",6.5 to 7.5,Summer,Yellow,"9b-11, USA",South Africa
1029,Tilia tomentosa,Silver linden,,Tree,50 to 70 feet tall; 25 to 30 foot wide,Partial to full sun,Moist and well-draining,Alkaline,Summer,Pale yellow,4 to 7,"Europe, Asia"
1030, Acer saccharinum,Silver maple,,Deciduous tree,"50- 80 ft. tall, 40-60 ft. wide","Full sun, part shade","Moist, well-drained soil, Wet soil",4.5 to 7.5,Early Spring,Inconspicuous,USDA 3a-9a,Eastern United States
1031,Acer saccharinum,,Sapindaceae,Deciduous tree,50 to 100 ft. tall,Full to partial sun,"Sandy, loamy","Acidic, neutral, slightly alkaline",,,"3 to 9, USDA",Eastern North America
1032,Artemisia schmidtiana 'Silver Mound',,,Herbaceous perennial,"12 inches tall, 18-inch spread",Full sun to part shade,"Dry to average moisture, well-drained soil",7.0 or above (neutral to alkaline),Not significant,Not significant,4 to 8,Japan
1033,Ledebouria socialis,"Silver squill, wood hyacinth, leopard lily",Asparagaceae ,Perennial,6-10 in. tall and wide,Partial,Well-drained,"Acidic, neutral, alkaline",Spring,Green,10-11 (USDA),Africa
1034,Miscanthus spp.,Silvergrass,Poaceae,Deciduous Grass,2 to 12 ft. tall,"Full Sun, Partial Shade",Various,Various,"Late Summer, Fall","Silver, Pink",Various,Asia
1035,Lewisia cotyledon 'Rainbow',"Rainbow bitterroot, Rainbow Lewisia, Siskiyou Lewisia, cliff maids",,Evergreen  perennial,"8 inches tall (when in bloom), with a greater spread",Partial sun to full sun,"Average fertility, excellent drainage",Acidic to neutral,"April, May, and June","Salmon, white, orange, pink, rose, or yellow",5 to 8,"Several western states of the U.S., and British Columbia in Canada"
1036,Tillandsia ionantha,Sky plant,,"Perennial, succulent",Up to 6 in. tall,Partial,,,Fall,"Purple, red, pink",9–11 (USDA),Central and South America
1037,Euphorbia lomelii,"Slipper plant, lady slipper",,Perennial,"3-6 ft. tall, 2-3 ft. wide",Full,"Sandy, Well-drained","Acidic, Neutral, Alkaline","Spring, Summer, Fall","Red, Orange, Yellow","9-11, USA",Central America
1038,Cotinus coggygria,,Anacardiaceae,Deciduous shrub,"10-15 ft. high, similar spread",Full sun,"Prefers well-drained, loamy soil",Tolerates both acidic and alkaline soils,Late spring to mid-summer,Yellow,4-9 (USDA),Southern Europe to central China
1039,Hydrangea arborescens,"Smooth hydrangea, Wild hydrangea",Hydrangeaceae,"Deciduous, Shrub",3 -10 ft. tall,Partial shade,Well-drained,"Acid, Neutral, Alkaline",Summer,White,"3-9, USA",Eastern USA
1040, Rhus glabra, Smooth Sumac,, Deciduous shrub, 9 to 15 ft. tall and wide., Full to Part Shade," Average, well-drained soil", Adaptable, June, Yellowish Green," 3-9, USA"," Continental US, Southern Canada"
1041,Cochliasanthus caracalla (formerly Vigna caracalla),"Snail vine, snail flowers, shell flowers, corkscrew vine",,Tender perennial vine,15 to 20 feet,Partial to full sun,Well drained fertile soil,Slightly acidic to neutral,Midsummer to early autumn,"white buds, pale pink to lavender flowers",USDA 9 to 11,
1042,Dracaena trifasciata (formerly Sansevieria trifasciata),"Snake plant, viper's bowstring hemp, St. George's sword",Asparagaceae,"Evergreen, perennial",Six inches to 8 feet tall,Shade to partial sun,"Sandy, well-drained",Slightly acidic to slightly alkaline,Spring (blooms are rare),White,9–11 (USDA) ,West Africa (tropical)
1043,Actaea,,Ranunculaceae,"Herbaceous, perennial",2-4 ft. tall (7 ft. tall with flowers),"Partial, shade",Well-drained,Neutral,"Summer, fall","White, lavender",,North America
1044,Antirrhinum majus,"Snapdragon, dog's mouth, lion's mouth, toad's mouth",Plantaginaceae,Herbaceous perennial (usually grown as an annual),"6–48 in. wide (depends on variety), 6–12 in. across","Full sun, part shade","Rich, moist, well-draining",6.2–7.0 (slightly acidic to neutral),Spring to fall; may slow down in mid-summer,"White, yellow, pink, red, orange, peach, purple, violet",7–11 (USDA); grown as annuals everywhere,"Mediterranean Europe, Syria, Turkey"
1045,Maurandya scandens or Asrina scandens,,Plantaginaceae,Vine,"6–9 ft. long, 3–6 ft. wide","Full sun, partial shade","Rich, well-drained loam",Neutral to acidic,"Spring, summer","Pink, blue, lavender, violet, white","9–10, USDA",Mexico and Central America
1046,Helenium autumnale,"Sneezeweed, Helen's Flower",,Perennial flower,2–5 feet tall,Full sun,"Moist, well-draining",5.5 to 7.0,"Late summer, Fall","Yellow, gold, orange, coppery brown, red",3–8 (USDA),North America
1047,Ensete glaucum,Snow banana,Musaceae,Perennial,Up to 15 ft. tall,"Full, partial",Well-drained,"Acidic, neutral, alkaline",Summer,"Green, white",,Asia
1048,Epipremnum aureum 'Snow Queen' ,Snow queen pothos ,Araceae ,Vine ,6-10 ft. long (indoors) ,Partial ,Moist but well-draining ,Acidic ,"Spring, summer ","Green, white ","10-11, US ",Asia
1049,Cerastium tomentosum,"Snow-in-summer, silver carpet, mouse ear, chickweed",Caryophyllaceae,"Herbaceous, perennial","6-2 in. tall, 9-12 in. wide",Full,"Loamy, sandy, well-drained","Acidic, neutral",June,White,3-8 (USDA),Europe
1050,Viburnum x carlcephalum,"Snowball bush viburnum, fragrant snowball, European cranberrybush",Adoxaceae,Deciduous shrub,"6–12 ft. tall, 6–10 ft. wide","Full sun, partial shade","Average, well-drained",Moderately acidic to slightly alkaline (5.5 to 8.0),Spring,"White, light pink",6–8 (USDA),Nursery hybrid
1051, Galanthus nivalis,, Amaryllidaceae (Amaryllis), Perennial bulb (hardy in the North), 3 to 6 inches tall, Full sun to partial shade," Loamy, sandy, humusy, well-drained"," Acidic, neutral, alkaline", Early spring, White," 3 to 7, USA",
1052,Saponaria officinalis,"Soapwort, common soapwort, bouncing-bet",,Herbaceous perennial,"1–3 ft. tall, 1–2 ft. wide","Full sun, partial shade","Dry to medium moisture, well-drained",Neutral to acidic,"Summer, early fall","Pink, white",3–9 (USDA),"Europe, Asia"
1053,Tulbaghia violacea,"Society Garlic, pink agapanthus",,Tuberous blooming perennial,1 to 2 ft. tall,Full sun,Well-drained loam or light sandy soil,Neutral (6.8 to 7.5),Early summer to autumn,"Lilac, lavender, pink","7-10, USDA",Eastern South Africa
1054,Polygonatum spp.,Solomon's seal,Asparagaceae,"Herbaceous, perennial","6 in.–7 ft. tall, 1–4 ft. wide","Partial, shade","Moist, well-draining","Acidic, neutral",Spring,"White, green, pink",3–9 (USDA),North America
1055,Dracaena reflexa,Song of India,Asparagaceae,"Perennial, shrub","3-20 ft. tall, 3 ft. wide",Partial,Moist but well-drained,Neutral,Winter,White,10-12 (USDA),Africa
1056,"Rumex acestosa (Garden sorrel), Rumex scutatus (French sorrel)","Sorrel, garden sorrel, French sorrel, sorrel dock, sour dock, sour leek, spinach dock",Polygonaceae,Herbaceous perennial,"12-18 in. tall, 18-24 in. wide",Full sun,"Rich, well-drained",Acidic (5.5 to 6.8),Summer,"Green, turning to red",5-7 (USDA) ,"Europe, Asia"
1057,Dasylirion wheeleri,"Desert spoon, sotol, common sotol, spoon yucca, spoon flower, blue sotol",Asparagaceae,"Perennial, evergreen, shrub","4–6 ft. tall, 3–4 ft. wide",Full,"Sandy, well-drained","Neutral, acidic","Spring, summer","Yellow, purplish-pink","8–11, USA",North America
1058,Oxydendrum arboreum,Sourwood,,Deciduous tree,"20-25 ft. tall, 10-25 ft. wide","Full sun, part shade, shade","Moist, organically rich, well-drained",Acidic,June-July,White,USDA 5-9,Eastern and southern United States
1059,Magnolia grandiflora,"Southern Magnolia, Bull Bay, Big Laurel",Magnoliaceae,"Perennial, Tree","60-80 ft. tall, 20 - 40 ft. wide","Full sun, Partial Shade","Moist, Well-drained","Acid, Neutral, Alkaline","Spring, Summer","White, Cream","6-10, USA",Southeastern United States
1060,Hyacinthoides hispanica,"Spanish bluebell, wood hyacinth",Asparagaceae,"Bulb, perennial","6-18 in. tall, 6-18 in. wide","Full, partial","Moist, well-drained","Neutral, acidic, alkaline",Spring,"Blue, purple, white, pink",3-8 (USDA),Europe
1061,Lavendula stoechas,"Spanish lavender, butterfly lavender, bract lavender",Lamiaceae,"Perennial, shrub, herb","18-36 in. tall, 18-36 in. wide",Full,"Sandy, moist but well-drained","Acidic, neutral","Spring, summer","Pink, purple, white","8a-9b, USDA","Europe, Africa, Mediterranean"
1062, Spearmint, Mentha spicata,, Herbaceous Perennial, 18-36 inches, Full Sun- Part Shade," Well-draining, rich, moist soil", Neutral, Summer, Lavender," Zones 4 - 10, USA", Europe and Asia
1063,Lindera benzoin,"Spicebush, northern spicebush, Benjaminbush",,Deciduous shrub,6-12 feet tall,Full sun to partial sun,"Moist, well-draining",5.0-8.0,Early spring,Yellow,4-9,
1064,Cleome,"Cleomes, spider flower, Rocky Mountain bee plant, stinking clover",Cleomaceae,Annual,1.5 to 5 feet tall and 1 to 2 feet wide,"Full sun, part sun","Average, well-drained ",Acidic to neutral,Summer,"White, pink, lavender, rose","10, 11",South America
1065,Lycoris,"Spider lily, hurricane lily, cluster amaryllis, naked lily, surprise lily",Amaryllidaceae,"Perennial, bulb","1–2 ft. tall, 1–1.5 ft. wide","Full, partial ",Well-drained,"Acidic, neutral, alkaline","Summer, fall ","Red, orange, pink, white, yellow",6–10 (USDA) ,Asia
1066,Chrysanthemum x morifolium (or C. morifolium),"Spider mum, Fuji mum",Asteraceae,"Herbaceous, perennial, annual","1–3 ft. tall, 1–2 ft. wide","Full, partial",Well-drained,Acidic,"Summer, fall","Yellow, pink, red, white, purple",5–9 (USDA),Asia
1067,Tradescantia,"Spiderwort, inch plant",Commelinaceae,Herbaceous perennial,N/A (vining species),"Full sun, partial shade",Moist but well-drained,Neutral to acidic,Year-round,"White, purple, pink",4b to 12a,"Mexico, South America, Caribbean"
1068,Veronica spicata ,"Veronica, spiked speedwell, speedwell",,Herbaceous perennial,"6 in. to 3 ft. tall, 6 in. to 2 ft. wide (depending on variety)",Full sun,Well-drained,Neutral,Summer,"Purplish-blue, pink, white",3 to 8,"Europe, Asia"
1069,Spinach,Spinacia oleracea,Amaranthaceae,"Annual, vegetable",,"Full sun, partial sun","Loamy, moist, well-drained","Acidic, neutral, alkaline (6.5 to 8)",Summer,,2–11 (USDA),"North America, Central America, South America, Asia"
1070,Yucca elephantipes,"Spineless yucca, stick yucca, giant yucca",,Evergreen,"15 to 30 ft. tall outdoors, and 5 ft. tall indoors",Full sun,"Sandy, well-draining","Acidic, neutral, or alkaline",Spring and summer,White,USDA Zones 9 to 11,Mexico
1071,Aloe polyphylla, Spiral aloe,, Succulent," 12 in. tall, 24 in. wide"," Full, partial"," Sandy, well-drained", Acidic," Spring, summer"," Pink, orange"," 7a, 7b, 8a, 8b, 9a, 9b", Africa
1072,Costus woodsonii,,Costaceae,"Perennial, herbaceous, rhizome","3–6 ft. tall, 2–3 ft. wide",Partial sun to partial shade,Moist but well-drained,Neutral to acidic,Summer,Yellow-orange,9–11 (USDA),Central America
1073,Spiraea spp.,Spiraea,Rosaceae,"Perennial, shrub",1-20 ft. tall (depending on species),Full,"Loamy, well-draining",Neutral,"Spring, summer",Varies (depending on species),"4, 5, 6, 7, 8","North America, Europe"
1074,Monstera deliciosa,,Araceae,Climbing evergreen,"3 ft. tall, 2-3 ft. spread","Bright indirect sunlight, partial shade","Peat-based potting soil, well-drained",Acid or neutral,Mid-summer,Cream/tan,10-12 (USDA),Central America
1075,Monarda punctata,,Lamiaceae,"Herbaceous, perennial","18 in.-3 ft. tall, 12-18 in. wide",Full,"Loamy, sandy, silt, well-drained",Neutral,Summer,"Pink, yellow, purple",3-8 (USDA),North America
1076,Lamium maculatum,Spotted dead nettles,,"Herbaceous  in cooler climates, but with a  perennial  life cycle","Depending on the cultivar, usually 3 to 12 inches tall, with a width two or three times that",Full shade  to partial shade,"Well-drained, with average moisture and fertility needs",Acidic,May to July,"Mauve, pink, purple, or white, depending on cultivar",4 to 8,"Europe, North Africa, West Asia"
1077,Dicentra canadensis,Squirrel corn,Papaveraceae,Herbaceous perennial,6–12 in. tall and wide,Partial to full shade,"Rich, moist but well-drained",Acidic to neutral (5.5 to 6.5),Spring,Pinkish-white,3–7 (USDA),"Eastern, central North America"
1078,Ecballium elaterium," Squirting cucumber, exploding cucumber",Cucurbitaceae,"Perennial, vine","12–18 in. tall, 1–3 ft. wide",Full,"Moist, well-drained soil","Acidic, neutral, alkaline",Summer,Yellow,9-11 (USDA),"Europe, Mediterranean"
1079,Stenotaphrum secundatum,,Poaceae,"Herbaceous, perennial grass",6 to 12 in. tall,Full sun to partial shade,Well-drained,6 to 7.5,,,"7 to 12, USDA","The Caribbean, South America, southeastern U.S. in the New World; Africa and Asia in the Old World"
1080,Hypericum perforatum,"Common St. John's wort, Klamath weed, goatweed, tipton weed, devil's scourge, rosin weed, god's wonder plant, perforate St. John's wort",,Herbaceous  plant with a  perennial  life cycle,1 to 3 feet tall and not quite as wide; upright growing habit,Full sun to partial shade,"Rich, well-drained, with average moisture content","Acidic, neutral, or alkaline",June through September,Yellow,3 to 8,"Europe, Asia, and North Africa; has naturalized in North America"
1081,Platycerium bifurcatum,"Staghorn fern, elkhorn fern",,Fern,"2–3 ft. tall, 2–3 ft. wide",Partial shade,Epiphytic,,Non-flowering,Non-flowering,9–12 (USDA),"Asia, Australia"
1082,Astrophytum spp.,Star cactus,Cactaceae,"Cactus, perennial, succulent","2-72 in. tall, 2-12 in. wide",Full,"Sandy, well-drained",Alkaline,"Summer, fall","Yellow, orange, red",9-11 (USDA),North America
1083,Averrhoa carambola ,Starfruit ,,Fruit tree ,Up to 30 feet (dwarf trees reach 3 feet),Full sun ,"Loam, moist, good drainage ",Slightly acidic,Summer ,Pale purple , 9 to 11 (USDA),
1084,Lilium orientalis 'Stargazer',"Stargazer lily, stargazer",Liliaceae,Perennial bulb,"4 ft. tall, 1 ft. wide",Full sun,"Loamy, moist, well-draining","Neutral, acidic",Summer,"Pink, white",4–9 (USDA),
1085,Hemerocallis 'Stella d'Oro',Stella d'Oro daylily,Hemerocallidaceae,Herbaceous perennial,"9-12 inches tall, 10-12 inches wide",Full sun,"Moist, well-drained","Acidic, neutral, alkaline","Spring, summer",Golden yellow,3-10 (USDA),"Cultivar, no native range"
1086,Rhododendron 'Stewartstonian' (Gable hybrids),Stewartstonian azalea,,Broadleaf evergreen shrub,"4 to 5 feet tall, similar spread",Full sun to part shade,"Fertile, evenly moist, well-drained soil",5.0 to 5.5 (acidic),April or May,Orange-red,5 to 8 (USDA),Hybrid plant; original parents are probably species from Korea and Japan
1087,Urtica dioic,"Stinging nettle, common nettle, burning grass",Urticaceae,Herbaceous perennial,"3–7 ft. tall, 1–3 ft. wide","Full, partial","Rich, moist",Acidic to alkaline (5.0 to 8.0),Summer,Greenish white,4 through 10 (USDA),"Europe and Asia, but now naturalized everywhere"
1088,Fragaria x ananassa,"Strawberry, garden strawberry",,Fruiting perennial,"4 to 12 inches tall, 6 to 24 inches wide",Full sun,"Loamy, rich, well-drained soil",Acidic (5.8 to 6.2),"Late spring, early summer",White,4 to 9 (USDA),Europe
1089,Saxifraga stolonifera ,"Strawberry begonia, creeping saxifrage, strawberry geranium",,Herbaceous perennial,"6–18 in. tall, 12–24 in. wide","Full sun, partial shade",Moist but well-drained,Neutral to acidic,"Late spring, early summer",White,6–9 (USDA),Asia
1090,Hydrangea paniculata 'Renhy' (brand name is Strawberry Vanilla),Strawberry Vanilla hydrangea,,Deciduous shrub,"Height of 6 to 7 feet, with a spread of 4 to 5 feet",Full sun,"Fertile, well-drained",5.8 to 6.2,Mid-Summer to early fall,"Begins white, turns deep pink",3 to 8 (USDA),Species native to China and Japan
1091,Xerochrysum bracteatum,"Strawflower, golden everlasting",Asteraceae,"Herbaceous, perennial, annual","2-3 ft. tall, 6-18 in. wide","Full, partial",Well-drained,"Neutral, acidic","Spring, summer, fall","Yellow, orange, red, white, pink",,Australia
1092,Phaseolus vulgaris,"Common bean, green bean, French bean, snap bean, string bean",Fabaceae,"Annual, vegetable",,Full sun,"Loamy, moist, well-drained",Acidic (6.0 to 6.2),"Spring, summer",,2–11 (USDA),"South America, Central America"
1093,Senecio radicans syn. Curio radicans,String of bananas,,Succulent,36 inches long,Full sun,"Well-draining, succulent soil",6.6-7.5,Spring,"White, light pink",,South Africa
1094,Crassula perforata, String of Buttons,, Succulent,  Grows to 18 inches tall, Full to Partial Sun," Well Drained, loamy, Sand", Adaptable, Spring, Yellow, 9-12, South Africa
1095,Senecio peregrinus,"String of dolphins, dolphin plant, flying dolphins, the dolphin necklace",,Succulent,6 inches tall,Full to partial sun,"Well-draining, cactus/succulent soil",6.6-7.5,Spring,White,,Southwest Africa
1096,Ceropegia woodii,"String of hearts, Rosary vine, Chain of hearts, Chinese lantern",,"Succulent, Vine, Evergreen","2-5 cm. tall, 2 - 4 m. wide spread",Partial Sun,"Well-drained, Fertile","Acidic, Neutral","Summer, Fall",White to a pale purplish-red,"9 - 12, USA",Southern Africa
1097,Dischidia nummularia ,"String of nickels, button orchid ",,Succulent,"12-18 in. long, 15-24 in. spread ","Partial sun, partial shade ",Well-drained ,"Neutral, alkaline ","Spring, summer ","Yellow, white ",10a to 11b,"India, Asia, Australia "
1098,Curio rowleyanus (formerly Senecio rowleyanus),"String of pearls, string of beads, string of peas, rosary vine",Asteraceae,Succulent,"1-2 ft. tall, 1-2 ft. long","Full, partial","Sandy, well-drained",Neutral to acidic,Summer,White,9-12 (USDA),Africa
1099,Peperomia prostrata,String of Turtles,Piperaceae,Semi-succulent,"12 in. long, 3-4 in. wide","Bright, indirect light","Loamy, moist",Neutral to acidic,,,"10 to 12, USA",Brazil
1100,Stromanthe sanguinea,Stromanthe triostar,,Tropical perennial,2-3 ft.,Part sun,"Light, well-draining soil","Not too particular, but generally between 6.0 to 8.0","Rarely blooms, but if it does, it will be between March and April",White,10-12 (USDA),Amazon jungle in South America
1101,Senecio spp.,,,Perennial succulents,Varies by species,Full sun to part shade,Sandy soil,6.0 to 7.0 (fairly neutral),Varies by species; bloom period is usually about 1 month,Varies by species,9 to 12 (most species),Most succulent species are native to South Africa
1102,Saccharum officinarum,"Sugar cane, sugarcane",Poaceae,"Perennial in warm regions, annuals otherwise",,"Full sun, partial shade","Loam, sand, clay","Acid, neutral, alkaline",Spring,,8-12 (USDA),Southeast Asia
1103,Humulus lupulus 'Sumner',Malus 'Sutyzam' ,,,,,,,,,,
1104,Chamaecyparis pisifera,"Japanese false cypress, Sawara false cypress, gold mops, golden mops false cypress, sun gold, king's gold",Cupressaceae,"Shrub, tree","6-30 ft. tall, 3-7 ft. wide","Full, partial","Clay, silt, loam","Neutral, acidic, alkaline",,,4-8 (USDA),Japan
1105,Helianthus annuus,,,Annual,"3–10 ft. tall, 1.5–3 ft. wide",Full,Well-drained,"Acidic, neutral, alkaline","Summer, fall","Yellow, red, mahogany, bicolors ",2–11 (USDA),North America
1106, Impatiens x hybrida SunPatiens®,,Balsaminaceae , Annual," 16-34 in. tall, 14-21 in. wide"," Full sun, partial shade"," Loamy, sandy, silt, moist but well-drained", Neutral to acidic (5.8 to 6.2)," Spring, summer, fall","Red, pink, orange, purple, white"," 10-12, USDA", n/a
1107,Asclepias incarnata,"Swamp milkweed, Rose milkweed, Pleurisy Root, White Indian hemp ",,Perennial,"3 to 5 ft. tall, 2 to 3 ft. wide",Full sun,"Clay, loam","Acid, alkaline, neutral",Mid to late summer,"Soft mauve to pink to reddish-violet, white","3 - 6, USA",North America
1108, Quercus bicolor,, Fagaceae, Tree," 50 to 70 ft. tall, 50 to 70 ft. wide", Full sun," Clay, loam, sand, moist but well-drained"," Neutral to acidic, 5.0 to 7.4", Spring, Inconspicuous," 4-8, USA", North America
